COMCODE,COURSE_NO,TITLE,L,P,U,STAT,SEC,INSTRUCTOR_TIMING_ROOM,EXAM_DETAILS
022983,BITS K101,"Physical Fitness, Health Well-being and Creativity I 1 F 11 12",,,,,,,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,L,1,SANJAY KUMAR W 11 LT4,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,L,2,Sanjay Kumar TH 11 LT4,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,L,3,Sanjay Kumar F 11 LT4,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,1,Arun V Kulkarni TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,2,Debasis Patnaik TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,3,Ganesh Madhav Bapat TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,4,Kizheppatt Vipin TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,5,Mali Kiran Dinkar TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,6,Rajesh Barik TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,7,Rajiv Kumar Chaturvedi TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,8,Ramprasad Joshi TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,9,Ranjan Dey TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,10,Saurabh Chandrakant Patankar TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,11,Sharad Sontakke TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,12,Sonal Ayakar TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,13,Subhadeep Banerjee TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,T,14,Sumit Biswas TBA C403,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,I,1,Anirban Roy,
022861,BITS F102,INNOVATION AND DESIGN THINKING,,,1,I,2,Saroj Sundar Baral,
022862,BITS F103,ENGINEERING DESIGN & PROTOTYPING,,,4,L,1,AVINASH KUMAR MEHTA / Iniyan Thiruselvam N / Prasad Vinayak Patil / Rahul Palulli T 1 F 7 LT4 Saturday TBA,"16/05/26 (AN) | 07/03/26,"
022862,BITS F103,ENGINEERING DESIGN & PROTOTYPING,,,4,L,2,Iniyan Thiruselvam N / Prasad Vinayak Patil / Saurabh Tiwari /Varinder Singh T 9 F 1 LT4,
022862,BITS F103,ENGINEERING DESIGN & PROTOTYPING,,,4,P,1,"Sandeep Jose , Saurabh Tiwari M 8 9 CC 219",
022862,BITS F103,ENGINEERING DESIGN & PROTOTYPING,,,4,P,1,TH 2 3 WS,
022862,BITS F103,ENGINEERING DESIGN & PROTOTYPING,,,4,P,2,"Sandeep Jose , Saurabh Tiwari M 8 9 CC 219",
022862,BITS F103,ENGINEERING DESIGN & PROTOTYPING,,,4,P,2,F 4 5 WS,
022862,BITS F103,ENGINEERING DESIGN & PROTOTYPING,,,4,P,3,"Avinash Kumar Mehta , Rahul Palulli W 4 5 CC 219",
022862,BITS F103,ENGINEERING DESIGN & PROTOTYPING,,,4,P,3,M 4 5 WS,
022862,BITS F103,ENGINEERING DESIGN & PROTOTYPING,,,4,P,4,"Avinash Kumar Mehta , Rahul Palulli W 4 5 CC 219",
022862,BITS F103,ENGINEERING DESIGN & PROTOTYPING,,,4,P,4,F 4 5 WS,
022862,BITS F103,ENGINEERING DESIGN & PROTOTYPING,,,4,P,5,"Nilesh Dadasaheb Pawar , Sandeep Jose W 8 9 CC 219",
